Titolo,Minuti,Lingue,Note,Copie,Proprietario,Giocatori,BGG_ID,Bgg_Link,Bgg_XML,BGG_Image,BGG_Thumb,SEARCH_BGG_IMAGE,SEARCH_BGG_THUMB,Barcode
Nidavellir,45,,,1,,"2, 3, 4, 5",293014,https://boardgamegeek.com/boardgame/293014/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=293014,https://cf.geekdo-images.com/PX7t5xXDLI2XqxoTShLayg__original/img/KYzd3fBTCxrRxEvNvzabNbll7Wg=/0x0/filters:format(jpeg)/pic5039625.jpg,https://cf.geekdo-images.com/PX7t5xXDLI2XqxoTShLayg__thumb/img/jV7kN2k9IkGKLhus2FJ5_VP9awc=/fit-in/200x150/filters:strip_icc()/pic5039625.jpg,,,DD210
Nome in codice - Collega gli indizi XXL,15,,,1,,"4, 5, 6, 7, 8",178900,https://boardgamegeek.com/boardgame/178900/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=178900,https://cf.geekdo-images.com/F_KDEu0GjdClml8N7c8Imw__original/img/gcX_EfjsRpB5fI4Ug4XV73G4jGI=/0x0/filters:format(jpeg)/pic2582929.jpg,https://cf.geekdo-images.com/F_KDEu0GjdClml8N7c8Imw__thumb/img/yl8iXxSNwguMeg3KkmfFO9SMVVc=/fit-in/200x150/filters:strip_icc()/pic2582929.jpg,,,DD209
Nome in codice – Collega gli indizi,15,,,1,,"4, 5, 6, 7, 8",178900,https://boardgamegeek.com/boardgame/178900/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=178900,https://cf.geekdo-images.com/F_KDEu0GjdClml8N7c8Imw__original/img/gcX_EfjsRpB5fI4Ug4XV73G4jGI=/0x0/filters:format(jpeg)/pic2582929.jpg,https://cf.geekdo-images.com/F_KDEu0GjdClml8N7c8Imw__thumb/img/yl8iXxSNwguMeg3KkmfFO9SMVVc=/fit-in/200x150/filters:strip_icc()/pic2582929.jpg,,,DD207
Non si puo più dire niente,,,,1,,,,#N/A,#N/A,#N/A,#N/A,,,
Noria,70-120,,,1,,"2, 3, 4",233676,https://boardgamegeek.com/boardgame/233676/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=233676,https://cf.geekdo-images.com/A1H2QX5meUBthiEpX-gq8w__original/img/dvedrpIxF-258KFJlN_JJ0YBGHw=/0x0/filters:format(jpeg)/pic5355459.jpg,https://cf.geekdo-images.com/A1H2QX5meUBthiEpX-gq8w__thumb/img/q4W2Kl7sBDxq8E4_GwVqLWertl0=/fit-in/200x150/filters:strip_icc()/pic5355459.jpg,,,DD208
Nosferatu,20,,,1,,"5, 6, 7, 8",65413,https://boardgamegeek.com/boardgame/65413/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=65413,https://cf.geekdo-images.com/28TDvmU9J-9ZK4XXDH1K1w__original/img/jiTHJwFuK_E6yTGC0BVXbjwmDyY=/0x0/filters:format(png)/pic1041563.png,https://cf.geekdo-images.com/28TDvmU9J-9ZK4XXDH1K1w__thumb/img/Jki9XrO1JO4RcWgy-O0q5Q9SUM4=/fit-in/200x150/filters:strip_icc()/pic1041563.png,,,DD395
Oak,90,,,1,,"1, 2, 3, 4",343362,https://boardgamegeek.com/boardgame/343362/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=343362,https://cf.geekdo-images.com/skiu7wU44_3H2pBjstUB9A__original/img/K7yuJ2C4xGjJ3bgOjmYOlSpcFbE=/0x0/filters:format(jpeg)/pic6739647.jpg,https://cf.geekdo-images.com/skiu7wU44_3H2pBjstUB9A__thumb/img/bDkcFjxXbtNkGE3VlxBqYUyYvkU=/fit-in/200x150/filters:strip_icc()/pic6739647.jpg,,,DD217
Odissea: I viaggi di Ulisse,15-30,,,1,,"3, 4, 5, 6",266367,https://boardgamegeek.com/boardgame/266367/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=266367,https://cf.geekdo-images.com/6k7tjNpMiUuYZRhsOJ_b4g__original/img/VwvetBuFyhPOOnYuiZwqNpLjdZs=/0x0/filters:format(jpeg)/pic4462099.jpg,https://cf.geekdo-images.com/6k7tjNpMiUuYZRhsOJ_b4g__thumb/img/ZkWU-gAFsRsNHGMiEyNSkAA71hU=/fit-in/200x150/filters:strip_icc()/pic4462099.jpg,,,DD219
Olè guacamole,15,,,1,,"2, 3, 4, 5, 6, 7, 8",341315,https://boardgamegeek.com/boardgame/341315/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=341315,https://cf.geekdo-images.com/VAc5VUF95xEAkfdxWDqaGA__original/img/9fVvX8NbZE8JHD3I5QZWr87n4xc=/0x0/filters:format(png)/pic6254347.png,https://cf.geekdo-images.com/VAc5VUF95xEAkfdxWDqaGA__thumb/img/3hA4QOTnQQ2v9nKWddPGLB5030E=/fit-in/200x150/filters:strip_icc()/pic6254347.png,,,DD170
One small step,60-90,,,1,,"2,3,4",282227,https://boardgamegeek.com/boardgame/282227/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=282227,https://cf.geekdo-images.com/4jHirdxv5hXy2uzFMUL_Fw__original/img/SOGQIOyDul7P1IOx9choRGphUaw=/0x0/filters:format(png)/pic6653013.png,https://cf.geekdo-images.com/4jHirdxv5hXy2uzFMUL_Fw__thumb/img/49edbrPmEVxj4nhxHCdYP3qZQEM=/fit-in/200x150/filters:strip_icc()/pic6653013.png,,,DD212
Optimus,30,,,1,,"1, 2, 3, 4",244522,https://boardgamegeek.com/boardgame/244522/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=244522,https://cf.geekdo-images.com/3-unuy5JW1cC8C6EUBNiOA__original/img/YJRIGmJmT0XuhRbOmLN8VdLfEec=/0x0/filters:format(jpeg)/pic4410877.jpg,https://cf.geekdo-images.com/3-unuy5JW1cC8C6EUBNiOA__thumb/img/6lLy1-ra8knFDyG3FznGUp6WK-M=/fit-in/200x150/filters:strip_icc()/pic4410877.jpg,,,
Orbis,45,,,1,,"2, 3, 4",255507,https://boardgamegeek.com/boardgame/255507/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=255507,https://cf.geekdo-images.com/qGGMdUTeeZw5-1nTPuC4PA__original/img/UI2lOn9T9X9NtqPgROJWCWSL7To=/0x0/filters:format(jpeg)/pic4185945.jpg,https://cf.geekdo-images.com/qGGMdUTeeZw5-1nTPuC4PA__thumb/img/-O1frZfWDGMzSESB5CuO2YuYhaU=/fit-in/200x150/filters:strip_icc()/pic4185945.jpg,,,DD213
Origami,15-30,,,1,,"2, 3, 4",234469,https://boardgamegeek.com/boardgame/234469/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=234469,https://cf.geekdo-images.com/eiMuqnyVbaxBHR9MZN05yQ__original/img/tiG5_Sn-qrYJhkiT0H8-OHHfB9Y=/0x0/filters:format(png)/pic3731916.png,https://cf.geekdo-images.com/eiMuqnyVbaxBHR9MZN05yQ__thumb/img/RMxkh83b2o5MTkBYkh1FTUAU7xE=/fit-in/200x150/filters:strip_icc()/pic3731916.png,,,DD397
Orleans,90,,,1,,"2, 3, 4",164928,https://boardgamegeek.com/boardgame/164928/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=164928,https://cf.geekdo-images.com/nagl1li6kYt9elV9jbfVQw__original/img/Qn6vlBaTUaHNFsqohIUjd0EA4z0=/0x0/filters:format(jpeg)/pic6228507.jpg,https://cf.geekdo-images.com/nagl1li6kYt9elV9jbfVQw__thumb/img/ykeqdM_Naz4IiqOgyB1arzteOiU=/fit-in/200x150/filters:strip_icc()/pic6228507.jpg,,,DD367
Otto game over,36,,,1,,"2, 3, 4",325477,https://boardgamegeek.com/boardgame/325477/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=325477,https://cf.geekdo-images.com/-eqJVQ6Ep3MRCQ0eHYAZSQ__original/img/5Im0Bp-PPHe-aC7b05ncnYjQ0cw=/0x0/filters:format(png)/pic5822553.png,https://cf.geekdo-images.com/-eqJVQ6Ep3MRCQ0eHYAZSQ__thumb/img/dvB6BTHU31uXhOTtuvrW_jU2tVs=/fit-in/200x150/filters:strip_icc()/pic5822553.png,,,DD215
