Titolo,Minuti,Lingue,Note,Copie,Proprietario,Giocatori,BGG_ID,Bgg_Link,Bgg_XML,BGG_Image,BGG_Thumb,SEARCH_BGG_IMAGE,SEARCH_BGG_THUMB,Barcode
21 Giochi Minuti,15-45,,,1,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",356999,https://boardgamegeek.com/boardgame/356999/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=356999,https://cf.geekdo-images.com/4RqAkODjriLj67lnKVenIg__original/img/BHHS3p8uIv1bE6mgYaEI8fbYTYI=/0x0/filters:format(png)/pic6687277.png,https://cf.geekdo-images.com/4RqAkODjriLj67lnKVenIg__thumb/img/M2-t5Xh85IWBqW5ApyyHXvU6XTg=/fit-in/200x150/filters:strip_icc()/pic6687277.png,,,
50 clues - escape thriller (minigioco),20,,è in una busta,1,,"1, 2, 3, 4, 5",,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
7 Wonders,30,"🇮🇹, 🇬🇧",,1,,"2, 3, 4, 5, 6, 7",68448,https://boardgamegeek.com/boardgame/68448/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=68448,https://cf.geekdo-images.com/35h9Za_JvMMMtx_92kT0Jg__original/img/jt70jJDZ1y1FWJs4ZQf5FI8APVY=/0x0/filters:format(jpeg)/pic7149798.jpg,https://cf.geekdo-images.com/35h9Za_JvMMMtx_92kT0Jg__thumb/img/BUOso8b0M1aUOkU80FWlhE8uuxc=/fit-in/200x150/filters:strip_icc()/pic7149798.jpg,,,DD159
7 Wonders - Architects,25,,,1,,"2, 3, 4, 5, 6, 7",346703,https://boardgamegeek.com/boardgame/346703/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=346703,https://cf.geekdo-images.com/BGtYtHbLgYhYyNMoyOm1RA__original/img/05P7xaW8B4ueCvItryBjO5wVA5s=/0x0/filters:format(jpeg)/pic7416525.jpg,https://cf.geekdo-images.com/BGtYtHbLgYhYyNMoyOm1RA__thumb/img/Qml2TbcN2IyaA-PtHKcIrhnELd4=/fit-in/200x150/filters:strip_icc()/pic7416525.jpg,,,DD328
7 Wonders - Armada (Espansione),40,,Espansione,1,,"3, 4, 5, 6, 7",247315,https://boardgamegeek.com/boardgame/247315/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=247315,https://cf.geekdo-images.com/KffEZ2wBeOQxRH5Lve54GA__original/img/nxsfgHZBrIUwfm2QbCsvKotOpUc=/0x0/filters:format(jpeg)/pic4268517.jpg,https://cf.geekdo-images.com/KffEZ2wBeOQxRH5Lve54GA__thumb/img/5O46f3m2___cCyd_HbuhG1KNWO8=/fit-in/200x150/filters:strip_icc()/pic4268517.jpg,,,
7 Wonders - Duel ,30,,,1,,2,173346,https://boardgamegeek.com/boardgame/173346/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=173346,https://cf.geekdo-images.com/zdagMskTF7wJBPjX74XsRw__original/img/Ju836WNSaW7Mab9Vjq2TJ_FqhWQ=/0x0/filters:format(jpeg)/pic2576399.jpg,https://cf.geekdo-images.com/zdagMskTF7wJBPjX74XsRw__thumb/img/gV1-ckZSIC-dCxxpq1Y7GmPITzQ=/fit-in/200x150/filters:strip_icc()/pic2576399.jpg,,,DD326
A Game of Cat & Mouth,15,,,1,,2,321539,https://boardgamegeek.com/boardgame/321539/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=321539,https://cf.geekdo-images.com/1_cEnRN2mdmxUdeTjjtiaA__original/img/yPSlbK3ST_8GOxcQJEpmCz94lw4=/0x0/filters:format(jpeg)/pic6974496.jpg,https://cf.geekdo-images.com/1_cEnRN2mdmxUdeTjjtiaA__thumb/img/iD10KpE1Ke30hlI5xjks0gvajXQ=/fit-in/200x150/filters:strip_icc()/pic6974496.jpg,,,DD003
A tale of pirates,10,,,1,,"2, 3, 4",173096,https://boardgamegeek.com/boardgame/173096/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=173096,https://cf.geekdo-images.com/UhtxFEXDXOmxyMf0wsnIrA__original/img/VRvop7Xu98fiPdjozAZIo_o_ufc=/0x0/filters:format(png)/pic4231262.png,https://cf.geekdo-images.com/UhtxFEXDXOmxyMf0wsnIrA__thumb/img/GwRP4puZbkO0P0yzm0TG6Bjhqac=/fit-in/200x150/filters:strip_icc()/pic4231262.png,,,DD005
A War of Whispers,,,,,,,253499,https://boardgamegeek.com/boardgame/253499/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=253499,https://cf.geekdo-images.com/D3Fl15xiRd0QtghO0ZBiRA__original/img/c88Nn0ANeyrOF6cGvmKYazDtVSw=/0x0/filters:format(jpeg)/pic4150994.jpg,https://cf.geekdo-images.com/D3Fl15xiRd0QtghO0ZBiRA__thumb/img/6HGGwpXvSqqHCUiDZxf-33V8i7Q=/fit-in/200x150/filters:strip_icc()/pic4150994.jpg,,,
Adrenalina,60,,,1,,"3, 4, 5",202408,https://boardgamegeek.com/boardgame/202408/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=202408,https://cf.geekdo-images.com/TiNI7bUCR2RPFMlvKEC9TQ__original/img/MEvPkkVu15k4DWM8CS41a-j5TL8=/0x0/filters:format(jpeg)/pic3476604.jpg,https://cf.geekdo-images.com/TiNI7bUCR2RPFMlvKEC9TQ__thumb/img/nnWEA6jjVsxPSuEC_Ooph9kzO_g=/fit-in/200x150/filters:strip_icc()/pic3476604.jpg,,,
Agricola,30 x p,,,1,,"1, 2, 3, 4, 5",31260,https://boardgamegeek.com/boardgame/31260/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=31260,https://cf.geekdo-images.com/dDDo2Hexl80ucK1IlqTk-g__original/img/toobKoejPiHpfpHk4SYd1UAJafw=/0x0/filters:format(jpeg)/pic831744.jpg,https://cf.geekdo-images.com/dDDo2Hexl80ucK1IlqTk-g__thumb/img/GHGdnCfeysoP_34gLnofJcNivW8=/fit-in/200x150/filters:strip_icc()/pic831744.jpg,,,DD010
Air Land and Sea: Animali in Guerra,,,,1,,2,342857,https://boardgamegeek.com/boardgame/342857/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=342857,https://cf.geekdo-images.com/sAOWDzYp6CDTzo2EHozkEw__original/img/tKqqxNAS_ycVzfT5xseQGWHLE9s=/0x0/filters:format(jpeg)/pic6293166.jpg,https://cf.geekdo-images.com/sAOWDzYp6CDTzo2EHozkEw__thumb/img/XIGKrZEmkqKyrN24WXf7dIXq5ag=/fit-in/200x150/filters:strip_icc()/pic6293166.jpg,,,DD316
Airships,45-60,,,1,,"2, 3, 4",32116,https://boardgamegeek.com/boardgame/32116/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=32116,https://cf.geekdo-images.com/Un0FNs6BqvYK6-c2PP2QcQ__original/img/9TuJYhSxQa4rEfIBUOia1hIvAtA=/0x0/filters:format(jpeg)/pic296139.jpg,https://cf.geekdo-images.com/Un0FNs6BqvYK6-c2PP2QcQ__thumb/img/HdZOmy3tX8_IojvUmd5oENBvZZ4=/fit-in/200x150/filters:strip_icc()/pic296139.jpg,,,DD008
Alta Tensione,120,,,1,,"2, 3, 4, 5, 6",2651,https://boardgamegeek.com/boardgame/2651/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=2651,https://cf.geekdo-images.com/yd6LuatytHRhcFCxCf-EEg__original/img/OS13C6W4i1XW__wWVVVaqF7BV0c=/0x0/filters:format(jpeg)/pic4459753.jpg,https://cf.geekdo-images.com/yd6LuatytHRhcFCxCf-EEg__thumb/img/jWTonZ5oYNlPzpELKHIJGWSS0Y8=/fit-in/200x150/filters:strip_icc()/pic4459753.jpg,,,
Amun-Re,90,,,1,,"3, 4, 5",5404,https://boardgamegeek.com/boardgame/5404/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=5404,https://cf.geekdo-images.com/wFD0mXh1AZshtsYlrBXyzA__original/img/TbMBl_wTToaiNN9YIF4nixlM6SE=/0x0/filters:format(jpeg)/pic2748305.jpg,https://cf.geekdo-images.com/wFD0mXh1AZshtsYlrBXyzA__thumb/img/nLzU6sEdEIrWcjgBVOlj-Jfsl6s=/fit-in/200x150/filters:strip_icc()/pic2748305.jpg,,,DD009
Aquileia,90,,,1,,"3, 4, 5",108161,https://boardgamegeek.com/boardgame/108161/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=108161,https://cf.geekdo-images.com/FulODdlILkePhWqn16wzcg__original/img/tfjada45GciLe1_C9y8z87RX5uI=/0x0/filters:format(jpeg)/pic1121027.jpg,https://cf.geekdo-images.com/FulODdlILkePhWqn16wzcg__thumb/img/5oZu7KD8wuMnUwLP_6suwnYLHlo=/fit-in/200x150/filters:strip_icc()/pic1121027.jpg,,,DD014
Architetti del regno occidentale,60-80,,Sam,1,,"1, 2, 3, 4, 5",236457,https://boardgamegeek.com/boardgame/236457/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=236457,https://cf.geekdo-images.com/OAX7HfOz-9N60StgADzd0g__original/img/x2Y_DYWrzzleMETfnu7Jm3R8jPo=/0x0/filters:format(png)/pic3781944.png,https://cf.geekdo-images.com/OAX7HfOz-9N60StgADzd0g__thumb/img/sBMaoJ-Kz74lJ6djcl-NNMTr0Wo=/fit-in/200x150/filters:strip_icc()/pic3781944.png,,,DD002
Ark Nova,90-150,,,1,,"1, 2, 3, 4",342942,https://boardgamegeek.com/boardgame/342942/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=342942,https://cf.geekdo-images.com/SoU8p28Sk1s8MSvoM4N8pQ__original/img/g4S18szTdrXCdIwVKzMKrZrYAcM=/0x0/filters:format(jpeg)/pic6293412.jpg,https://cf.geekdo-images.com/SoU8p28Sk1s8MSvoM4N8pQ__thumb/img/4KuHNTWSMPf8vTNDKSRMMI3oOv8=/fit-in/200x150/filters:strip_icc()/pic6293412.jpg,,,DD007
Arkham Horror,120-180,,,1,,"1, 2, 3, 4, 5, 6",34,https://boardgamegeek.com/boardgame/34/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=34,https://cf.geekdo-images.com/AhS53CO05pBagyr9EfRazg__original/img/tYocUbfd0yIGoQPiWJ7YVFdCmyY=/0x0/filters:format(jpeg)/pic5747491.jpg,https://cf.geekdo-images.com/AhS53CO05pBagyr9EfRazg__thumb/img/vkAI2JcO2v2Y_pO1Fi5shUGzCxc=/fit-in/200x150/filters:strip_icc()/pic5747491.jpg,,,DD013
Arkham Horror: il richiamo di Cthulhu,120-240,,,1,,"1, 2, 3, 4, 5, 6, 7, 8",,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,DD011
Arkham Horror: l'orrore di Dunwich,120-240,,Espansione?,1,,"1, 2, 3, 4, 5, 6, 7, 8",21059,https://boardgamegeek.com/boardgame/21059/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=21059,https://cf.geekdo-images.com/SD4sueZ3S8iL1RlZIq-u_A__original/img/4cSN2FgX87isFO8723Qlm28te-A=/0x0/filters:format(jpeg)/pic114495.jpg,https://cf.geekdo-images.com/SD4sueZ3S8iL1RlZIq-u_A__thumb/img/RpKj-u4cqnpskpB_QEEpwdEEUA0=/fit-in/200x150/filters:strip_icc()/pic114495.jpg,,,DD012
Astrotime,60-90,,,1,,"3, 4, 5, 6",1865,https://boardgamegeek.com/boardgame/1865/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=1865,https://cf.geekdo-images.com/C-2dW739IWiqJlprB-nNpA__original/img/hkXGLvuXs7-ZAZYzMim90tviPLk=/0x0/filters:format(jpeg)/pic7387187.jpg,https://cf.geekdo-images.com/C-2dW739IWiqJlprB-nNpA__thumb/img/LCQOsDDMBtTh5mGuWgsadB4lUfI=/fit-in/200x150/filters:strip_icc()/pic7387187.jpg,,,DD006
Azul,30-45,🇮🇹,,1,,"2, 3, 4",230802,https://boardgamegeek.com/boardgame/230802/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=230802,https://cf.geekdo-images.com/aPSHJO0d0XOpQR5X-wJonw__original/img/AkbtYVc6xXJF3c9EUrakklcclKw=/0x0/filters:format(png)/pic6973671.png,https://cf.geekdo-images.com/aPSHJO0d0XOpQR5X-wJonw__thumb/img/ccsXKrdGJw-YSClWwzVUwk5Nh9Y=/fit-in/200x150/filters:strip_icc()/pic6973671.png,,,DD015
Azul - Il giardino della Regina,,,,1,,,346965,https://boardgamegeek.com/boardgame/346965/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=346965,https://cf.geekdo-images.com/l-NBWJ1gIcfOCfrvAw8qvw__original/img/VaPUWBlEE3Wg_QGYAsHxKV8mBkw=/0x0/filters:format(jpeg)/pic6389125.jpg,https://cf.geekdo-images.com/l-NBWJ1gIcfOCfrvAw8qvw__thumb/img/kvxUPoBvCzjV5r6poE29LFUQnSM=/fit-in/200x150/filters:strip_icc()/pic6389125.jpg,,,DD016
Bag of chips,15-20,,,1,,"2, 3, 4, 5",344114,https://boardgamegeek.com/boardgame/344114/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=344114,https://cf.geekdo-images.com/ytrc-5WfwVmAxh9W_FLUWg__original/img/BkxBma2BpaN2Xr1JLUKY7qnEg_A=/0x0/filters:format(png)/pic6855556.png,https://cf.geekdo-images.com/ytrc-5WfwVmAxh9W_FLUWg__thumb/img/-vu-yspDcaCefMd8G7PYe5nOY5M=/fit-in/200x150/filters:strip_icc()/pic6855556.png,,,DD371
Balloons,5-10,,,1,,"1, 2, 3, 4",242282,https://boardgamegeek.com/boardgame/242282/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=242282,https://cf.geekdo-images.com/8oDcSsPCjyIjGArMxVL7zw__original/img/vAW-b8hV3Xxf1Nb59gR-X0y3JSk=/0x0/filters:format(png)/pic6991544.png,https://cf.geekdo-images.com/8oDcSsPCjyIjGArMxVL7zw__thumb/img/0mi9TAVGbxsnWNSz9az2Cxt2AiE=/fit-in/200x150/filters:strip_icc()/pic6991544.png,,,
Banana Bandits,30,,,1,,"2, 3, 4",206540,https://boardgamegeek.com/boardgame/206540/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=206540,https://cf.geekdo-images.com/JQISiNBgfcx2aJk_BryxBQ__original/img/rs-xQxpWnVyK89tZavA9HIzSkcM=/0x0/filters:format(jpeg)/pic3261826.jpg,https://cf.geekdo-images.com/JQISiNBgfcx2aJk_BryxBQ__thumb/img/M-DxZfmS7p_VHYn5V9-gBUWxiyA=/fit-in/200x150/filters:strip_icc()/pic3261826.jpg,,,DD023
Bang!,20-40,,,1,,"4, 5, 6, 7",30933,https://boardgamegeek.com/boardgame/30933/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=30933,https://cf.geekdo-images.com/omqNXDxHuFcizPoSm79ADA__original/img/tfKyxINQGko0nwhI_UVWaTFqyfE=/0x0/filters:format(jpeg)/pic3835714.jpg,https://cf.geekdo-images.com/omqNXDxHuFcizPoSm79ADA__thumb/img/mYgLup5AKzWaZCoMULuxXX3iBLk=/fit-in/200x150/filters:strip_icc()/pic3835714.jpg,,,DD309
Bar barians,20,,,1,,"2, 3, 4, 5, 6",288346,https://boardgamegeek.com/boardgame/288346/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=288346,https://cf.geekdo-images.com/k5mFIX6GegBaENt4Jg4uEw__original/img/3CarT_WYn2PUObcO4Bx9ujBAths=/0x0/filters:format(jpeg)/pic4941714.jpg,https://cf.geekdo-images.com/k5mFIX6GegBaENt4Jg4uEw__thumb/img/KyVQhH-WA7M-HHZdvBVBMlVjhIE=/fit-in/200x150/filters:strip_icc()/pic4941714.jpg,,,DD017
Barenpark,30-45,,,1,,"2, 3, 4",219513,https://boardgamegeek.com/boardgame/219513/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=219513,https://cf.geekdo-images.com/9JC16l1EMwmJkpbjaUBkpw__original/img/H14LeRRtvcOajZ1Z1_pRYu_rSTM=/0x0/filters:format(jpeg)/pic3486218.jpg,https://cf.geekdo-images.com/9JC16l1EMwmJkpbjaUBkpw__thumb/img/MbjH6nLmJQ5IjCgeULOjMfOf-NA=/fit-in/200x150/filters:strip_icc()/pic3486218.jpg,,,DD025
Battlefold,30,,,1,,"2, 3, 4",229244,https://boardgamegeek.com/boardgame/229244/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=229244,https://cf.geekdo-images.com/zcSfoC94JOeDJO8NfgB4EQ__original/img/UCK90XhSWjPog-08da7AVM3ZCbs=/0x0/filters:format(jpeg)/pic3717323.jpg,https://cf.geekdo-images.com/zcSfoC94JOeDJO8NfgB4EQ__thumb/img/aywMdO73ao7HB_W460bUHYOZcF0=/fit-in/200x150/filters:strip_icc()/pic3717323.jpg,,,DD028
Battlestar Galactica,120-180,,,1,???,"3, 4, 5, 6, 7, 8",2688,https://boardgamegeek.com/boardgame/2688/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=2688,https://cf.geekdo-images.com/THA2_757igBcUATuW3TBBg__original/img/Op1DqsdNRbYR4cMwwiiDu8QxDOA=/0x0/filters:format(jpeg)/pic204946.jpg,https://cf.geekdo-images.com/THA2_757igBcUATuW3TBBg__thumb/img/cl3rGcW-492Ar76CQjRfkM0bYlA=/fit-in/200x150/filters:strip_icc()/pic204946.jpg,,,DD022
Bears vs Babies,20,,,1,,"2, 3, 4, 5",211534,https://boardgamegeek.com/boardgame/211534/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=211534,https://cf.geekdo-images.com/2BZROogBECvPPF2780wlvg__original/img/LAUIOIEPo54Qis-r8FDiE6kqqh4=/0x0/filters:format(jpeg)/pic5521191.jpg,https://cf.geekdo-images.com/2BZROogBECvPPF2780wlvg__thumb/img/sdoR62wTU6mKAKrZY96_zhPWy3c=/fit-in/200x150/filters:strip_icc()/pic5521191.jpg,,,DD331
Beetlez,ott-20,,,1,,"3, 4, 5, 6",19877,https://boardgamegeek.com/boardgame/19877/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=19877,https://cf.geekdo-images.com/M47ThH36U0W6DzgQa4Wdtw__original/img/yPI6eKR-AlULmSQRiHEZc_34LxQ=/0x0/filters:format(jpeg)/pic258311.jpg,https://cf.geekdo-images.com/M47ThH36U0W6DzgQa4Wdtw__thumb/img/4N6t1MxEg6_Es1ID4m_KNyKjllE=/fit-in/200x150/filters:strip_icc()/pic258311.jpg,,,DD332
Bellz!,15,,,2,,"2, 3, 4",167292,https://boardgamegeek.com/boardgame/167292/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=167292,https://cf.geekdo-images.com/OkWPgu8HzXLVdRkpzfTXBw__original/img/gn9eVSCztbTGoVs5JcCMrWG6SvU=/0x0/filters:format(jpeg)/pic2264320.jpg,https://cf.geekdo-images.com/OkWPgu8HzXLVdRkpzfTXBw__thumb/img/HqQpDYoXSqUvzq7PIgGSgccQUog=/fit-in/200x150/filters:strip_icc()/pic2264320.jpg,,,
Between Two Cities,25,,,1,,"3, 4, 5, 6, 7",168435,https://boardgamegeek.com/boardgame/168435/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=168435,https://cf.geekdo-images.com/7KO73MdSD1yCUvKmb4pOgA__original/img/Z1jHr2yyOS982h3F5IktoEYTxeU=/0x0/filters:format(jpeg)/pic6352795.jpg,https://cf.geekdo-images.com/7KO73MdSD1yCUvKmb4pOgA__thumb/img/BaLQhhGkNB6LaNqGnaNzz88GLOA=/fit-in/200x150/filters:strip_icc()/pic6352795.jpg,,,DD019
Beyond the sun,100,,,1,,"1,2,3,4",317985,https://boardgamegeek.com/boardgame/317985/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=317985,https://cf.geekdo-images.com/BfEHqHQAvZLbRX7y7e9TWg__original/img/h2NEwLqn5mNkcEfMdP_8oMWa9KE=/0x0/filters:format(jpeg)/pic5617866.jpg,https://cf.geekdo-images.com/BfEHqHQAvZLbRX7y7e9TWg__thumb/img/6rZLxebQyTXasbAPddxpdE1LVls=/fit-in/200x150/filters:strip_icc()/pic5617866.jpg,,,
Bicchieri Sprint,15,,,1,,"2, 3, 4",146149,https://boardgamegeek.com/boardgame/146149/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=146149,https://cf.geekdo-images.com/v2arPeSKVsJ4VPGjeVcBbg__original/img/3lCEU6_J3WIZ7LfZf-Tl6wkIWbY=/0x0/filters:format(png)/pic6486581.png,https://cf.geekdo-images.com/v2arPeSKVsJ4VPGjeVcBbg__thumb/img/KGRyLoC8Q5oq2AJVKNxVYclN-zI=/fit-in/200x150/filters:strip_icc()/pic6486581.png,,,DD020
Black Sheep & White Sheep,5-20,,,1,,"2, 3, 4",153780,https://boardgamegeek.com/boardgame/153780/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=153780,https://cf.geekdo-images.com/aJRKW2ocFy0ox2TF8xZCyw__original/img/mJRMEFy7OZnBstxn8dpS_PRUjig=/0x0/filters:format(jpeg)/pic2084870.jpg,https://cf.geekdo-images.com/aJRKW2ocFy0ox2TF8xZCyw__thumb/img/tVyzBKHZYCvzqxQWaiHWBmVzCaI=/fit-in/200x150/filters:strip_icc()/pic2084870.jpg,,,DD335
Blackout Hong Kong,150,,,1,,"1, 2, 3, 4",262215,https://boardgamegeek.com/boardgame/262215/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=262215,https://cf.geekdo-images.com/jOLEKfuTY4gLszR1h-0Bfw__original/img/MdeUWXhaqOaDwYULBIWER5vBKTA=/0x0/filters:format(jpeg)/pic4338675.jpg,https://cf.geekdo-images.com/jOLEKfuTY4gLszR1h-0Bfw__thumb/img/503wcpX69A8d-M9hO8wXCyAct7I=/fit-in/200x150/filters:strip_icc()/pic4338675.jpg,,,DD026
Blood Rage,60-90,,,1,,"2, 3, 4",170216,https://boardgamegeek.com/boardgame/170216/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=170216,https://cf.geekdo-images.com/HkZSJfQnZ3EpS214xtuplg__original/img/Myy6IPDJDzLoPdXrPXVZcddBQoQ=/0x0/filters:format(jpeg)/pic2439223.jpg,https://cf.geekdo-images.com/HkZSJfQnZ3EpS214xtuplg__thumb/img/NLhVdU8xazrgS5dA6nVCYmN2DNI=/fit-in/200x150/filters:strip_icc()/pic2439223.jpg,,,DD076
Blood Rage - (5th espansione),-,,Espansione,1,,+1 a blood rage,174506,https://boardgamegeek.com/boardgame/174506/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=174506,https://cf.geekdo-images.com/umhSABukjE3U7oDSBr4JMA__original/img/4Xo2d8o3W1dpD_P9aaqSCWYpA6w=/0x0/filters:format(jpeg)/pic6063944.jpg,https://cf.geekdo-images.com/umhSABukjE3U7oDSBr4JMA__thumb/img/ILs4K1hMfMGgb8_BTX_ngR9j7Is=/fit-in/200x150/filters:strip_icc()/pic6063944.jpg,,,
Bluff Party,,,,1,Lucaricci,,27155,https://boardgamegeek.com/boardgame/27155/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=27155,https://cf.geekdo-images.com/ObcfqiVOszAhYeP9GBqUmA__original/img/Kuw_v3F4O0ykSP8pFvVLP7Oi1MY=/0x0/filters:format(jpeg)/pic5837925.jpg,https://cf.geekdo-images.com/ObcfqiVOszAhYeP9GBqUmA__thumb/img/_R63at_yycbpZL_onCIr-IzU-xY=/fit-in/200x150/filters:strip_icc()/pic5837925.jpg,,,DD303
Boon Lake,90,,,1,,"1, 2, 3, 4",343905,https://boardgamegeek.com/boardgame/343905/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=343905,https://cf.geekdo-images.com/xRcKQXVz-mDxz-32Jf7gCg__original/img/2HWmLnNrR9Kbz-9NAOiOUk6t-qk=/0x0/filters:format(jpeg)/pic6313605.jpg,https://cf.geekdo-images.com/xRcKQXVz-mDxz-32Jf7gCg__thumb/img/vIVFdw240YYQCJXKO8YC8cT3his=/fit-in/200x150/filters:strip_icc()/pic6313605.jpg,,,DD059
Borneo,45,,,1,,"3, 4, 5",32164,https://boardgamegeek.com/boardgame/32164/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=32164,https://cf.geekdo-images.com/ZfMgoL-85tALtJuQbAPxsw__original/img/C2MqPPdEfvpN8RW5IET8_4b1ruY=/0x0/filters:format(jpeg)/pic255554.jpg,https://cf.geekdo-images.com/ZfMgoL-85tALtJuQbAPxsw__thumb/img/jPf5fKS-vZbxnBv3p9oHQlivs_E=/fit-in/200x150/filters:strip_icc()/pic255554.jpg,,,DD027
Boss Monster,30,,,1,,"2, 3, 4",131835,https://boardgamegeek.com/boardgame/131835/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=131835,https://cf.geekdo-images.com/VBwaHyx-NWL3VLcCWKRA0w__original/img/izAmJ81QELl5DoK3y2bzJw55lhA=/0x0/filters:format(jpeg)/pic1732644.jpg,https://cf.geekdo-images.com/VBwaHyx-NWL3VLcCWKRA0w__thumb/img/wisLXxKXbo5-Ci-ZjEj8ryyoN2g=/fit-in/200x150/filters:strip_icc()/pic1732644.jpg,,,DD325
Botanik,30,,,1,,2,271529,https://boardgamegeek.com/boardgame/271529/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=271529,https://cf.geekdo-images.com/BZiB4muySH2j0H2t6CEjcA__original/img/YIe8q2IDu1gRbFSRF9PV52j6tnA=/0x0/filters:format(jpeg)/pic5869674.jpg,https://cf.geekdo-images.com/BZiB4muySH2j0H2t6CEjcA__thumb/img/LyMx8-HYvEzkSdHWwvn4fjgwnqM=/fit-in/200x150/filters:strip_icc()/pic5869674.jpg,,,DD334
Brass: Birmingham,,,,,,,224517,https://boardgamegeek.com/boardgame/224517/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=224517,https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__original/img/FpyxH41Y6_ROoePAilPNEhXnzO8=/0x0/filters:format(jpeg)/pic3490053.jpg,https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__thumb/img/o18rjEemoWaVru9Y2TyPwuIaRfE=/fit-in/200x150/filters:strip_icc()/pic3490053.jpg,,,DD029
Breaking Bad,60-120,,,1,,"3, 4, 5, 6, 7, 8",221805,https://boardgamegeek.com/boardgame/221805/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=221805,https://cf.geekdo-images.com/sBUTwB7ZKI4pEqbZfbEfog__original/img/LkIZECfpTt7yqgmo6NSlNH_L7kQ=/0x0/filters:format(jpeg)/pic3741705.jpg,https://cf.geekdo-images.com/sBUTwB7ZKI4pEqbZfbEfog__thumb/img/mCwFMWFYVr19mr02Y3f752sURuk=/fit-in/200x150/filters:strip_icc()/pic3741705.jpg,,,DD018
Brew ,45-90,,,1,,"2,3,4",332386,https://boardgamegeek.com/boardgame/332386/,https://boardgamegeek.com/xmlapi2/thing?versions=1&stats=1&id=332386,https://cf.geekdo-images.com/8eN5t1p4ncee-eVN9NswDA__original/img/Hhv8kruqZZH1vv5W7gR7QXNZ_KM=/0x0/filters:format(png)/pic6007253.png,https://cf.geekdo-images.com/8eN5t1p4ncee-eVN9NswDA__thumb/img/EI64n63DbQ9DHhTf72s7UpUFMBY=/fit-in/200x150/filters:strip_icc()/pic6007253.png,,,DD024
